--- Optimization Completed ---
Final Cost: 0.0785373787964323
Final Parameters: [4.26290326 0.11053458 0.81856754 4.62285113 1.65754124 1.07928091
 5.76114017 3.99150406 6.22186   ]

Best parameters (callback): [4.26225984 0.11406705 0.81370595 4.63003382 1.64842973 1.08607405
 5.77085817 3.9963624  6.21937467]
Best cost (callback): 0.054237384045698556

0.105951 (Num:0.147505 / Denom:0.164985)
0.150700 (Num:0.115892 / Denom:0.136456)
0.167602 (Num:0.174571 / Denom:0.209721)
0.100096 (Num:0.147082 / Denom:0.163442)
0.244942 (Num:0.115101 / Denom:0.152440)
0.210839 (Num:0.168685 / Denom:0.213753)
0.092042 (Num:0.148021 / Denom:0.163026)
0.193285 (Num:0.216690 / Denom:0.268607)
0.133534 (Num:0.083789 / Denom:0.096702)
0.119050 (Num:0.145157 / Denom:0.164774)
0.199449 (Num:0.152037 / Denom:0.189916)
0.215720 (Num:0.124139 / Denom:0.158284)
0.109520 (Num:0.145751 / Denom:0.163677)
0.213268 (Num:0.093907 / Denom:0.119363)
0.198204 (Num:0.187141 / Denom:0.233402)
0.102736 (Num:0.143846 / Denom:0.160317)
0.169099 (Num:0.165349 / Denom:0.199000)
0.169607 (Num:0.120814 / Denom:0.145490)
0.113149 (Num:0.146468 / Denom:0.165155)
0.225358 (Num:0.207874 / Denom:0.268348)
0.219936 (Num:0.076980 / Denom:0.098685)
0.111162 (Num:0.143677 / Denom:0.161646)
0.241069 (Num:0.185174 / Denom:0.243993)
0.263242 (Num:0.085744 / Denom:0.116380)
0.105255 (Num:0.145959 / Denom:0.163130)
0.224116 (Num:0.208693 / Denom:0.268974)
0.220676 (Num:0.076977 / Denom:0.098774)
0.099382 (Num:0.146438 / Denom:0.162597)
0.214189 (Num:0.099815 / Denom:0.127022)
0.221602 (Num:0.196313 / Denom:0.252201)
0.075528 (Num:0.148972 / Denom:0.161142)
0.111876 (Num:0.102322 / Denom:0.115211)
0.180298 (Num:0.189992 / Denom:0.231782)
0.112844 (Num:0.142835 / Denom:0.161003)
0.257463 (Num:0.078894 / Denom:0.106250)
0.226628 (Num:0.202573 / Denom:0.261935)
0.083874 (Num:0.146774 / Denom:0.160211)
0.162045 (Num:0.151921 / Denom:0.181300)
0.171903 (Num:0.134928 / Denom:0.162938)
0.103052 (Num:0.144963 / Denom:0.161618)
0.151711 (Num:0.137137 / Denom:0.161663)
0.184490 (Num:0.154790 / Denom:0.189808)
0.109970 (Num:0.143610 / Denom:0.161354)
0.089624 (Num:0.114353 / Denom:0.125610)
0.129520 (Num:0.166179 / Denom:0.190905)
0.100999 (Num:0.144017 / Denom:0.160197)
0.228648 (Num:0.150121 / Denom:0.194620)
0.212403 (Num:0.120789 / Denom:0.153364)
0.094894 (Num:0.143186 / Denom:0.158198)
0.205642 (Num:0.140751 / Denom:0.177189)
0.173176 (Num:0.133524 / Denom:0.161490)
0.101134 (Num:0.143588 / Denom:0.159743)
0.135147 (Num:0.100668 / Denom:0.116399)
0.142204 (Num:0.188511 / Denom:0.219762)
0.100682 (Num:0.142945 / Denom:0.158949)
0.178689 (Num:0.252696 / Denom:0.307674)
0.108509 (Num:0.058647 / Denom:0.065786)
0.109279 (Num:0.136865 / Denom:0.153657)
0.178156 (Num:0.053900 / Denom:0.065584)
0.181577 (Num:0.231099 / Denom:0.282371)
0.088153 (Num:0.139157 / Denom:0.152610)
0.102449 (Num:0.140144 / Denom:0.156141)
0.116660 (Num:0.128050 / Denom:0.144962)
0.101559 (Num:0.138418 / Denom:0.154065)
0.138374 (Num:0.171691 / Denom:0.199264)
0.122056 (Num:0.112957 / Denom:0.128661)
0.086324 (Num:0.137869 / Denom:0.150894)
0.174705 (Num:0.208546 / Denom:0.252693)
0.158788 (Num:0.066314 / Denom:0.078832)
0.107822 (Num:0.135237 / Denom:0.151581)
0.081633 (Num:0.104426 / Denom:0.113709)
0.171726 (Num:0.178511 / Denom:0.215522)
0.092976 (Num:0.135901 / Denom:0.149831)
0.173406 (Num:0.241274 / Denom:0.291890)
0.098336 (Num:0.052604 / Denom:0.058341)
0.105690 (Num:0.128683 / Denom:0.143891)
0.255976 (Num:0.080156 / Denom:0.107733)
0.191311 (Num:0.185966 / Denom:0.229960)
0.103648 (Num:0.131703 / Denom:0.146932)
0.224614 (Num:0.186548 / Denom:0.240587)
0.291199 (Num:0.070829 / Denom:0.099928)
0.113543 (Num:0.134087 / Denom:0.151262)
0.226818 (Num:0.181345 / Denom:0.234544)
0.193416 (Num:0.092929 / Denom:0.115214)
0.095038 (Num:0.133813 / Denom:0.147866)
0.148048 (Num:0.113099 / Denom:0.132753)
0.163104 (Num:0.145732 / Denom:0.174134)
0.101829 (Num:0.131892 / Denom:0.146846)
0.209367 (Num:0.085236 / Denom:0.107807)
0.202096 (Num:0.191177 / Denom:0.239598)
0.108029 (Num:0.131577 / Denom:0.147513)
0.160892 (Num:0.149925 / Denom:0.178672)
0.165499 (Num:0.112475 / Denom:0.134781)
0.089420 (Num:0.134062 / Denom:0.147227)
0.292518 (Num:0.056726 / Denom:0.080181)
0.233709 (Num:0.237298 / Denom:0.309671)
0.090695 (Num:0.137687 / Denom:0.151420)
0.095192 (Num:0.057022 / Denom:0.063021)
0.178320 (Num:0.233072 / Denom:0.283653)
0.091428 (Num:0.133405 / Denom:0.146829)
0.170385 (Num:0.179554 / Denom:0.216431)
0.142755 (Num:0.080048 / Denom:0.093378)
0.100055 (Num:0.131725 / Denom:0.146370)
0.189995 (Num:0.194906 / Denom:0.240623)
0.207026 (Num:0.069551 / Denom:0.087710)
0.086060 (Num:0.132699 / Denom:0.145194)
0.112644 (Num:0.097565 / Denom:0.109950)
0.149707 (Num:0.160715 / Denom:0.189011)
0.077293 (Num:0.131926 / Denom:0.142977)
0.194721 (Num:0.190427 / Denom:0.236474)
0.231730 (Num:0.069964 / Denom:0.091067)
0.102770 (Num:0.131423 / Denom:0.146476)
0.193669 (Num:0.070758 / Denom:0.087753)
0.202194 (Num:0.198546 / Denom:0.248865)
0.074310 (Num:0.132863 / Denom:0.143529)
0.213495 (Num:0.172048 / Denom:0.218750)
0.176916 (Num:0.097414 / Denom:0.118353)
0.099896 (Num:0.131427 / Denom:0.146013)
0.078143 (Num:0.116883 / Denom:0.126791)
0.139984 (Num:0.135660 / Denom:0.157742)
0.096846 (Num:0.130220 / Denom:0.144184)
0.136092 (Num:0.160189 / Denom:0.185423)
0.160775 (Num:0.114890 / Denom:0.136900)
0.093781 (Num:0.131878 / Denom:0.145526)
0.183500 (Num:0.145921 / Denom:0.178715)
0.167422 (Num:0.110457 / Denom:0.132669)
0.080356 (Num:0.133355 / Denom:0.145007)
0.126873 (Num:0.138871 / Denom:0.159050)
0.160472 (Num:0.121351 / Denom:0.144546)
0.081291 (Num:0.133078 / Denom:0.144854)
0.135511 (Num:0.116276 / Denom:0.134502)
0.138949 (Num:0.159091 / Denom:0.184763)
0.099407 (Num:0.132680 / Denom:0.147326)
0.160355 (Num:0.089601 / Denom:0.106713)
0.150588 (Num:0.167993 / Denom:0.197776)
0.095564 (Num:0.132278 / Denom:0.146255)
0.232692 (Num:0.087272 / Denom:0.113738)
0.234356 (Num:0.175619 / Denom:0.229374)
0.095292 (Num:0.130388 / Denom:0.144122)
0.181967 (Num:0.195813 / Denom:0.239370)
0.171455 (Num:0.063389 / Denom:0.076506)
0.078948 (Num:0.132233 / Denom:0.143567)
0.166196 (Num:0.098639 / Denom:0.118300)
0.143904 (Num:0.161006 / Denom:0.188070)
0.093618 (Num:0.131110 / Denom:0.144652)
0.145198 (Num:0.153207 / Denom:0.179231)
0.134613 (Num:0.111026 / Denom:0.128296)
0.093100 (Num:0.132822 / Denom:0.146457)
0.155415 (Num:0.121812 / Denom:0.144227)
0.145004 (Num:0.138679 / Denom:0.162198)
0.121984 (Num:0.130410 / Denom:0.148528)
0.135460 (Num:0.110506 / Denom:0.127821)
0.146764 (Num:0.149656 / Denom:0.175398)
0.098462 (Num:0.131636 / Denom:0.146013)
0.187791 (Num:0.097180 / Denom:0.119649)
0.210163 (Num:0.167437 / Denom:0.211989)
0.092640 (Num:0.132192 / Denom:0.145689)
0.144008 (Num:0.156691 / Denom:0.183052)
0.133993 (Num:0.102193 / Denom:0.118005)
0.095589 (Num:0.131105 / Denom:0.144962)
0.262839 (Num:0.068272 / Denom:0.092615)
0.229969 (Num:0.204125 / Denom:0.265086)
0.102137 (Num:0.132451 / Denom:0.147518)
0.149738 (Num:0.161029 / Denom:0.189388)
0.079500 (Num:0.103977 / Denom:0.112958)
0.087451 (Num:0.132434 / Denom:0.145125)
0.178755 (Num:0.200709 / Denom:0.244396)
0.174166 (Num:0.063982 / Denom:0.077476)
0.093578 (Num:0.130546 / Denom:0.144023)
0.105177 (Num:0.123794 / Denom:0.138345)
0.111943 (Num:0.135397 / Denom:0.152464)
0.098460 (Num:0.129181 / Denom:0.143289)
0.184054 (Num:0.166157 / Denom:0.203637)
0.176816 (Num:0.099651 / Denom:0.121055)
0.057950 (Num:0.133550 / Denom:0.141765)
0.119869 (Num:0.126776 / Denom:0.144042)
0.140091 (Num:0.131980 / Denom:0.153482)
0.080598 (Num:0.132876 / Denom:0.144525)
0.219476 (Num:0.098958 / Denom:0.126784)
0.188546 (Num:0.150096 / Denom:0.184972)
0.068603 (Num:0.132869 / Denom:0.142655)
0.144478 (Num:0.137736 / Denom:0.160996)
0.158068 (Num:0.115408 / Denom:0.137075)
0.057737 (Num:0.134208 / Denom:0.142432)
0.095162 (Num:0.101070 / Denom:0.111700)
0.132012 (Num:0.149271 / Denom:0.171974)
0.113504 (Num:0.129716 / Denom:0.146325)
0.090820 (Num:0.113701 / Denom:0.125058)
0.108425 (Num:0.135798 / Denom:0.152313)
0.079562 (Num:0.130959 / Denom:0.142278)
0.281232 (Num:0.058459 / Denom:0.081333)
0.223771 (Num:0.217570 / Denom:0.280290)
0.086234 (Num:0.134323 / Denom:0.146999)
0.175368 (Num:0.198780 / Denom:0.241053)
0.193173 (Num:0.071748 / Denom:0.088926)
0.099405 (Num:0.133050 / Denom:0.147736)
0.224963 (Num:0.222877 / Denom:0.287570)
0.240632 (Num:0.062261 / Denom:0.081990)
0.108611 (Num:0.135466 / Denom:0.151972)
0.213853 (Num:0.164620 / Denom:0.209402)
0.210478 (Num:0.089309 / Denom:0.113118)
0.065692 (Num:0.137461 / Denom:0.147126)
0.236883 (Num:0.208935 / Denom:0.273791)
0.220415 (Num:0.072563 / Denom:0.093078)
0.086604 (Num:0.134330 / Denom:0.147066)
0.225831 (Num:0.209213 / Denom:0.270242)
0.273785 (Num:0.069397 / Denom:0.095560)
0.077360 (Num:0.138661 / Denom:0.150287)
0.158614 (Num:0.140387 / Denom:0.166852)
0.176694 (Num:0.140208 / Denom:0.170298)
0.085022 (Num:0.139005 / Denom:0.151922)
0.100631 (Num:0.162706 / Denom:0.180911)
0.085727 (Num:0.108630 / Denom:0.118816)
0.085541 (Num:0.136624 / Denom:0.149404)
0.147285 (Num:0.169887 / Denom:0.199230)
0.140570 (Num:0.099575 / Denom:0.115862)
0.091606 (Num:0.135761 / Denom:0.149452)
0.160520 (Num:0.155097 / Denom:0.184754)
0.129682 (Num:0.114159 / Denom:0.131169)
0.083969 (Num:0.137017 / Denom:0.149577)
0.195455 (Num:0.086620 / Denom:0.107663)
0.177668 (Num:0.177641 / Denom:0.216021)
0.094852 (Num:0.136697 / Denom:0.151022)
0.153350 (Num:0.142025 / Denom:0.167750)
0.140791 (Num:0.127509 / Denom:0.148403)
0.098839 (Num:0.133735 / Denom:0.148403)
0.142514 (Num:0.171630 / Denom:0.200154)
0.148821 (Num:0.093763 / Denom:0.110157)
0.103247 (Num:0.136268 / Denom:0.151958)
0.200403 (Num:0.162129 / Denom:0.202763)
0.205184 (Num:0.110464 / Denom:0.138981)
0.093677 (Num:0.134886 / Denom:0.148828)
0.166459 (Num:0.159095 / Denom:0.190866)
0.156807 (Num:0.103941 / Denom:0.123270)
0.098929 (Num:0.136994 / Denom:0.152034)
0.133877 (Num:0.156733 / Denom:0.180959)
0.068406 (Num:0.108719 / Denom:0.116702)
0.100141 (Num:0.134237 / Denom:0.149176)
0.147080 (Num:0.148657 / Denom:0.174292)
0.145334 (Num:0.116054 / Denom:0.135789)
0.069577 (Num:0.134313 / Denom:0.144357)
0.247492 (Num:0.070871 / Denom:0.094180)
0.213211 (Num:0.190022 / Denom:0.241516)
0.113954 (Num:0.135086 / Denom:0.152459)
0.197158 (Num:0.163532 / Denom:0.203692)
0.177955 (Num:0.111544 / Denom:0.135690)
0.092055 (Num:0.133853 / Denom:0.147424)
0.164272 (Num:0.055374 / Denom:0.066258)
0.199368 (Num:0.221431 / Denom:0.276570)
0.115004 (Num:0.130941 / Denom:0.147957)
0.204767 (Num:0.194424 / Denom:0.244487)
0.206889 (Num:0.073334 / Denom:0.092464)
0.101382 (Num:0.134236 / Denom:0.149380)
0.179839 (Num:0.095681 / Denom:0.116661)
0.198467 (Num:0.182378 / Denom:0.227536)
0.096642 (Num:0.134191 / Denom:0.148547)
0.114702 (Num:0.106152 / Denom:0.119906)
0.163846 (Num:0.155972 / Denom:0.186534)
0.074470 (Num:0.133762 / Denom:0.144525)
0.112331 (Num:0.125046 / Denom:0.140870)
0.118190 (Num:0.137035 / Denom:0.155402)
0.094309 (Num:0.131993 / Denom:0.145737)
0.241339 (Num:0.076196 / Denom:0.100434)
0.214878 (Num:0.187788 / Denom:0.239183)
0.094089 (Num:0.134614 / Denom:0.148595)
0.185170 (Num:0.184089 / Denom:0.225923)
0.185882 (Num:0.095976 / Denom:0.117890)
0.089443 (Num:0.134151 / Denom:0.147328)
0.116531 (Num:0.150120 / Denom:0.169922)
0.126968 (Num:0.117069 / Denom:0.134094)
0.087785 (Num:0.134848 / Denom:0.147825)
0.196895 (Num:0.181386 / Denom:0.225856)
0.221088 (Num:0.081843 / Denom:0.105074)
0.104148 (Num:0.134087 / Denom:0.149675)
0.193666 (Num:0.140599 / Denom:0.174369)
0.191289 (Num:0.119887 / Denom:0.148245)
0.076532 (Num:0.136155 / Denom:0.147438)
0.140901 (Num:0.189061 / Denom:0.220070)
0.094629 (Num:0.087649 / Denom:0.096810)
0.098724 (Num:0.132835 / Denom:0.147386)
0.159514 (Num:0.132989 / Denom:0.158229)
0.144839 (Num:0.129862 / Denom:0.151857)
0.072250 (Num:0.133386 / Denom:0.143774)
0.228101 (Num:0.145496 / Denom:0.188490)
0.205974 (Num:0.106269 / Denom:0.133835)
0.085837 (Num:0.134827 / Denom:0.147486)
0.124103 (Num:0.163309 / Denom:0.186448)
0.113836 (Num:0.097781 / Denom:0.110342)
0.091320 (Num:0.132291 / Denom:0.145586)
0.149755 (Num:0.126714 / Denom:0.149032)
0.119761 (Num:0.136121 / Denom:0.154641)
