Shots: 50000
a, c= SPSA.calibrate(
        loss=lambda x: calculate_cost_function_sampling(x,shots,coefficient_set_2,gate_set_2,cost_history_SPSA),
        initial_point=x0,
        c=0.2,                 # Force start c = 0.2
        target_magnitude=0.35, # Force start step size ≈ 0.35
        stability_constant=0
    )
{   'fun': 0.06322566499892035,
    'jac': None,
    'nfev': 541,
    'nit': 180,
    'njev': None,
    'x': array([3.27687301, 5.51461997, 4.39133129, 3.08644882, 3.22021084,
       0.11813821, 1.79506773, 3.12461093, 2.27023903])}
Best x Found (Tracked by Callback): [3.27687301 5.51461997 4.39133129 3.08644882 3.22021084 0.11813821
 1.79506773 3.12461093 2.27023903]
Best Cost Found (Tracked by Callback): 0.022162480198974044

0.165014 (Num: 0.141077 / Denom: 0.168957)
0.218009 (Num: 0.209872 / Denom: 0.268382)
0.104672 (Num: 0.168930 / Denom: 0.188680)
0.172408 (Num: 0.251197 / Denom: 0.303527)
0.117194 (Num: 0.094164 / Denom: 0.106665)
0.102519 (Num: 0.148178 / Denom: 0.165105)
0.206076 (Num: 0.193369 / Denom: 0.243561)
0.288333 (Num: 0.082223 / Denom: 0.115535)
0.144896 (Num: 0.166176 / Denom: 0.194334)
0.222013 (Num: 0.138584 / Denom: 0.178132)
0.140791 (Num: 0.130640 / Denom: 0.152046)
0.094392 (Num: 0.143917 / Denom: 0.158918)
0.342972 (Num: 0.072857 / Denom: 0.110889)
0.171979 (Num: 0.206322 / Denom: 0.249174)
0.125076 (Num: 0.170958 / Denom: 0.195398)
0.252716 (Num: 0.176605 / Denom: 0.236330)
0.148648 (Num: 0.107948 / Denom: 0.126796)
0.088741 (Num: 0.127225 / Denom: 0.139614)
0.200100 (Num: 0.124791 / Denom: 0.156009)
0.222869 (Num: 0.111246 / Denom: 0.143150)
0.086702 (Num: 0.127001 / Denom: 0.139058)
0.234550 (Num: 0.174845 / Denom: 0.228422)
0.346021 (Num: 0.083303 / Denom: 0.127379)
0.133120 (Num: 0.145227 / Denom: 0.167529)
0.231764 (Num: 0.123049 / Denom: 0.160170)
0.201141 (Num: 0.114836 / Denom: 0.143750)
0.095072 (Num: 0.125361 / Denom: 0.138532)
0.236289 (Num: 0.125797 / Denom: 0.164718)
0.224657 (Num: 0.113026 / Denom: 0.145775)
0.100818 (Num: 0.127619 / Denom: 0.141928)
0.170157 (Num: 0.180235 / Denom: 0.217192)
0.206995 (Num: 0.074851 / Denom: 0.094389)
0.102621 (Num: 0.135717 / Denom: 0.151238)
0.177120 (Num: 0.066386 / Denom: 0.080675)
0.177218 (Num: 0.204102 / Denom: 0.248063)
0.090208 (Num: 0.135248 / Denom: 0.148658)
0.162780 (Num: 0.189792 / Denom: 0.226694)
0.190401 (Num: 0.087415 / Denom: 0.107973)
0.079210 (Num: 0.143947 / Denom: 0.156330)
0.163160 (Num: 0.225388 / Denom: 0.269332)
0.101577 (Num: 0.073334 / Denom: 0.081626)
0.091823 (Num: 0.120474 / Denom: 0.132654)
0.256939 (Num: 0.186937 / Denom: 0.251577)
0.233742 (Num: 0.101625 / Denom: 0.132626)
0.104759 (Num: 0.137375 / Denom: 0.153450)
0.183167 (Num: 0.178719 / Denom: 0.218795)
0.107840 (Num: 0.108433 / Denom: 0.121540)
0.097446 (Num: 0.130539 / Denom: 0.144633)
0.208025 (Num: 0.135461 / Denom: 0.171042)
0.159720 (Num: 0.137478 / Denom: 0.163610)
0.098384 (Num: 0.142900 / Denom: 0.158493)
0.123826 (Num: 0.106408 / Denom: 0.121446)
0.213390 (Num: 0.167472 / Denom: 0.212903)
0.093166 (Num: 0.127778 / Denom: 0.140906)
0.245292 (Num: 0.266981 / Denom: 0.353754)
0.433279 (Num: 0.036913 / Denom: 0.065135)
0.151781 (Num: 0.189255 / Denom: 0.223120)
0.310339 (Num: 0.169221 / Denom: 0.245368)
0.247739 (Num: 0.127443 / Denom: 0.169413)
0.100783 (Num: 0.138803 / Denom: 0.154360)
0.115425 (Num: 0.137407 / Denom: 0.155337)
0.132678 (Num: 0.148830 / Denom: 0.171597)
0.106869 (Num: 0.140873 / Denom: 0.157730)
0.120230 (Num: 0.108175 / Denom: 0.122958)
0.138269 (Num: 0.166647 / Denom: 0.193386)
0.132288 (Num: 0.137355 / Denom: 0.158296)
0.202134 (Num: 0.210607 / Denom: 0.263963)
0.152920 (Num: 0.072406 / Denom: 0.085478)
0.099126 (Num: 0.126069 / Denom: 0.139941)
0.210105 (Num: 0.123877 / Denom: 0.156827)
0.155255 (Num: 0.150632 / Denom: 0.178317)
0.114195 (Num: 0.145056 / Denom: 0.163756)
0.123756 (Num: 0.167603 / Denom: 0.191274)
0.141736 (Num: 0.111234 / Denom: 0.129604)
0.097606 (Num: 0.146371 / Denom: 0.162203)
0.160095 (Num: 0.092070 / Denom: 0.109619)
0.170473 (Num: 0.191226 / Denom: 0.230524)
0.085991 (Num: 0.141492 / Denom: 0.154804)
0.228805 (Num: 0.123278 / Denom: 0.159854)
0.194852 (Num: 0.138074 / Denom: 0.171489)
0.084840 (Num: 0.142020 / Denom: 0.155186)
0.155105 (Num: 0.135443 / Denom: 0.160307)
0.226987 (Num: 0.134838 / Denom: 0.174431)
0.095931 (Num: 0.142418 / Denom: 0.157530)
0.158372 (Num: 0.200883 / Denom: 0.238684)
0.071631 (Num: 0.083437 / Denom: 0.089874)
0.114110 (Num: 0.117808 / Denom: 0.132983)
0.151629 (Num: 0.202397 / Denom: 0.238571)
0.101871 (Num: 0.080971 / Denom: 0.090155)
0.088421 (Num: 0.127609 / Denom: 0.139986)
0.185782 (Num: 0.166049 / Denom: 0.203937)
0.196477 (Num: 0.086257 / Denom: 0.107349)
0.099320 (Num: 0.129753 / Denom: 0.144062)
0.097062 (Num: 0.069156 / Denom: 0.076590)
0.196764 (Num: 0.190740 / Denom: 0.237465)
0.107032 (Num: 0.105737 / Denom: 0.118410)
0.201110 (Num: 0.070835 / Denom: 0.088667)
0.124372 (Num: 0.137818 / Denom: 0.157394)
0.087921 (Num: 0.116495 / Denom: 0.127725)
0.352472 (Num: 0.132150 / Denom: 0.204083)
0.322133 (Num: 0.105029 / Denom: 0.154941)
0.081094 (Num: 0.114976 / Denom: 0.125123)
0.210020 (Num: 0.150197 / Denom: 0.190127)
0.190876 (Num: 0.081610 / Denom: 0.100862)
0.096564 (Num: 0.111295 / Denom: 0.123191)
0.268678 (Num: 0.141284 / Denom: 0.193190)
0.383966 (Num: 0.097063 / Denom: 0.157562)
0.071136 (Num: 0.125599 / Denom: 0.135218)
0.302838 (Num: 0.169107 / Denom: 0.242565)
0.284861 (Num: 0.080159 / Denom: 0.112089)
0.069901 (Num: 0.121828 / Denom: 0.130984)
0.327743 (Num: 0.046445 / Denom: 0.069088)
0.300944 (Num: 0.216315 / Denom: 0.309438)
0.091491 (Num: 0.131062 / Denom: 0.144261)
0.152501 (Num: 0.103573 / Denom: 0.122210)
0.278113 (Num: 0.128650 / Denom: 0.178214)
0.089927 (Num: 0.115868 / Denom: 0.127317)
0.292390 (Num: 0.212593 / Denom: 0.300438)
0.357784 (Num: 0.046731 / Denom: 0.072765)
0.130890 (Num: 0.145419 / Denom: 0.167320)
0.222768 (Num: 0.115153 / Denom: 0.148158)
0.133417 (Num: 0.114517 / Denom: 0.132148)
0.090213 (Num: 0.119941 / Denom: 0.131834)
0.370675 (Num: 0.184050 / Denom: 0.292456)
0.404876 (Num: 0.061528 / Denom: 0.103386)
0.130296 (Num: 0.129670 / Denom: 0.149097)
0.250455 (Num: 0.245754 / Denom: 0.327870)
0.398796 (Num: 0.025748 / Denom: 0.042827)
0.139481 (Num: 0.162505 / Denom: 0.188846)
0.225499 (Num: 0.158414 / Denom: 0.204537)
0.079395 (Num: 0.082902 / Denom: 0.090052)
0.076612 (Num: 0.108120 / Denom: 0.117090)
0.149913 (Num: 0.126117 / Denom: 0.148358)
0.172634 (Num: 0.092711 / Denom: 0.112055)
0.045834 (Num: 0.108715 / Denom: 0.113937)
0.140295 (Num: 0.132628 / Denom: 0.154271)
0.133512 (Num: 0.076617 / Denom: 0.088422)
0.081472 (Num: 0.107826 / Denom: 0.117390)
0.517354 (Num: 0.054995 / Denom: 0.113944)
0.356695 (Num: 0.159291 / Denom: 0.247614)
0.138921 (Num: 0.128225 / Denom: 0.148912)
0.119169 (Num: 0.137876 / Denom: 0.156530)
0.128151 (Num: 0.073988 / Denom: 0.084863)
0.067657 (Num: 0.109296 / Denom: 0.117227)
0.218206 (Num: 0.117670 / Denom: 0.150513)
0.192869 (Num: 0.097304 / Denom: 0.120556)
